Ответ из БЗ,Вопрос из БЗ,Классификатор 1 уровня,Классификатор 2 уровня,concat
"Такая функция еще не реализована, следите за нашими обновлениями. Мы рекомендуем выдавать доступы только тем пользователям, которым вы полностью доверяете.","Можно ли отследить действия пользователей, которым выдали доступ к студии канала?",ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Можно ли отследить действия пользователей, которым выдали доступ к студии канала?
Ответ: Такая функция еще не реализована, следите за нашими обновлениями. Мы рекомендуем выдавать доступы только тем пользователям, которым вы полностью доверяете."
Таких ограничений нет.,К какому количеству студий может быть одновременно предоставлен доступ одному пользователю?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: К какому количеству студий может быть одновременно предоставлен доступ одному пользователю?
Ответ: Таких ограничений нет."
Такой возможности нет.,"Могу ли я посмотреть, с какими студиями уже работает пользователь, которому я хочу предоставить доступ?",ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Могу ли я посмотреть, с какими студиями уже работает пользователь, которому я хочу предоставить доступ?
Ответ: Такой возможности нет."
"То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали. Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.","Какой контент можно использовать для монетизации, то есть в коммерческих целях?",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Какой контент можно использовать для монетизации, то есть в коммерческих целях?
Ответ: То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали. Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование."
Треш-стримы не должны нарушать правила размещения рекламы и пропагандировать деструктивное поведение. Трансляция должна иметь ограничение 18+. Участники должны быть совершеннолетними.,Можно ли выпивать на стримах (в пределах разумного) и можно ли вейпить?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Можно ли выпивать на стримах (в пределах разумного) и можно ли вейпить?
Ответ: Треш-стримы не должны нарушать правила размещения рекламы и пропагандировать деструктивное поведение. Трансляция должна иметь ограничение 18+. Участники должны быть совершеннолетними."
"У любых материалов есть автор или правообладатель. Вам нужно его официальное разрешение для использования материалов в своём контенте. Факт того, что материал гуляет по интернету, не означает, что его можно использовать без ограничений.",Можно ли свободно использовать материалы из интернета или из общего доступа?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Можно ли свободно использовать материалы из интернета или из общего доступа?
Ответ: У любых материалов есть автор или правообладатель. Вам нужно его официальное разрешение для использования материалов в своём контенте. Факт того, что материал гуляет по интернету, не означает, что его можно использовать без ограничений."
"Увы, физлицам монетизация недоступна, зато доступна самозанятым. Стать самозанятым можно за пару минут через приложение «Мой налог».  ","Как подключить монетизацию, если я физлицо?",ПРЕДЛОЖЕНИЯ,Монетизация,"Категория вопроса: Монетизация
Вопрос: Как подключить монетизацию, если я физлицо?
Ответ: Увы, физлицам монетизация недоступна, зато доступна самозанятым. Стать самозанятым можно за пару минут через приложение «Мой налог».  "
"Удостоверьтесь, что вы приложили к заявке все необходимые документы – это паспорт, ИНН, СНИЛС, справка о постановке на учёт в налоговой или справка из приложения «Мой налог», а также дополнительно для ИП и юрлица документы о регистрации и выписка из ЕГРИП/ЕГРЮЛ.

Если каких-либо документов не хватает, вы можете направить их на partners@rutube.ru.","Отправил заявку на монетизацию, но в личном кабинете висит надпись: «Требуется дополнительная информация». Что делать?",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Отправил заявку на монетизацию, но в личном кабинете висит надпись: «Требуется дополнительная информация». Что делать?
Ответ: Удостоверьтесь, что вы приложили к заявке все необходимые документы – это паспорт, ИНН, СНИЛС, справка о постановке на учёт в налоговой или справка из приложения «Мой налог», а также дополнительно для ИП и юрлица документы о регистрации и выписка из ЕГРИП/ЕГРЮЛ.

Если каких-либо документов не хватает, вы можете направить их на partners@rutube.ru."
"Установите на ваш ноутбук или компьютер бесплатную программу для потокового вещания и записи видео OBS: https://obsproject.com/ru или любую другую аналогичную ей; Авторизуйтесь на RUTUBE; Нажмите на кнопку запуска прямого эфира, которая располагается в правом верхнем углу сайта, или перейдите по этой ссылке: https://rutube.ru/create-stream/; Подтвердите ваш номер мобильного телефона (в случае, если вы не делали этого ранее);  Вы попадете в раздел запуска трансляции, где вам необходимо вписать заголовок и краткое описание прямого эфира, выбрать категорию и нажать на кнопку «‎Далее». После этого вы попадете в кабинет управления прямым эфиром, где вы можете настроить трансляцию и следить за статистикой; Скопируйте данные из полей «‎Ключ трансляции» и «‎URL трансляции» и вставьте их в соответствующие поля в программе OBS (или ее аналоге);  Выставите дополнительные настройки: включите или отключите автостарт трансляции (в случае включения функции стрим начнется автоматически сразу после получения сигнала); включите или отключите чат (по умолчанию он остается включенным).",Как создать трансляцию?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Как создать трансляцию?
Ответ: Установите на ваш ноутбук или компьютер бесплатную программу для потокового вещания и записи видео OBS: https://obsproject.com/ru или любую другую аналогичную ей; Авторизуйтесь на RUTUBE; Нажмите на кнопку запуска прямого эфира, которая располагается в правом верхнем углу сайта, или перейдите по этой ссылке: https://rutube.ru/create-stream/; Подтвердите ваш номер мобильного телефона (в случае, если вы не делали этого ранее);  Вы попадете в раздел запуска трансляции, где вам необходимо вписать заголовок и краткое описание прямого эфира, выбрать категорию и нажать на кнопку «‎Далее». После этого вы попадете в кабинет управления прямым эфиром, где вы можете настроить трансляцию и следить за статистикой; Скопируйте данные из полей «‎Ключ трансляции» и «‎URL трансляции» и вставьте их в соответствующие поля в программе OBS (или ее аналоге);  Выставите дополнительные настройки: включите или отключите автостарт трансляции (в случае включения функции стрим начнется автоматически сразу после получения сигнала); включите или отключите чат (по умолчанию он остается включенным)."
"Установите программу для потокового вещания, авторизуйтесь на RUTUBE, нажмите кнопку запуска эфира или перейдите по ссылке: https://rutube.ru/create-stream/, подтвердите номер телефона, введите заголовок и описание, выберите категорию, настройте трансляцию и скопируйте данные «Ключ трансляции» и «URL трансляции» в программу для потокового вещания.",Как создать трансляцию?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Как создать трансляцию?
Ответ: Установите программу для потокового вещания, авторизуйтесь на RUTUBE, нажмите кнопку запуска эфира или перейдите по ссылке: https://rutube.ru/create-stream/, подтвердите номер телефона, введите заголовок и описание, выберите категорию, настройте трансляцию и скопируйте данные «Ключ трансляции» и «URL трансляции» в программу для потокового вещания."
"Физическое лицо может получить данный статус при выполнении следующих условий: установлены аватар и обложка канала; заполнены описание и название канала; опубликованы не менее 2 видео, последнее из которых не старше 3-х месяцев; наличие ссылок на канал на других платформах.",Может ли физическое лицо получить статус?,УПРАВЛЕНИЕ АККАУНТОМ,Верификация,"Категория вопроса: Верификация
Вопрос: Может ли физическое лицо получить статус?
Ответ: Физическое лицо может получить данный статус при выполнении следующих условий: установлены аватар и обложка канала; заполнены описание и название канала; опубликованы не менее 2 видео, последнее из которых не старше 3-х месяцев; наличие ссылок на канал на других платформах."
Формирование главной страницы RUTUBE происходит на основании внутренних процессов сайта.,Как размещать ролики на главной странице RUTUBE?,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА,Продвижение канала,"Категория вопроса: Продвижение канала
Вопрос: Как размещать ролики на главной странице RUTUBE?
Ответ: Формирование главной страницы RUTUBE происходит на основании внутренних процессов сайта."
"Функционал предоставления доступа другим пользователям находится в блоке ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Здесь вы можете добавлять пользователей, назначать и изменять их роли.",Где находятся настройки доступа к студии канала в Студии RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Где находятся настройки доступа к студии канала в Студии RUTUBE?
Ответ: Функционал предоставления доступа другим пользователям находится в блоке ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Здесь вы можете добавлять пользователей, назначать и изменять их роли."
"Чтобы включить донаты, нажмите на ваш аватар и выберите «Студия RUTUBE». В боковом меню нажмите «Настройки канала» → Поддержать автора. Укажите ссылку на сервис, где пользователи могут перечислять вам средства. Под всеми вашими видео появится кнопка «Поддержать автора».",Как включить функцию «Поддержать автора»?,БЛАГОТВОРИТЕЛЬНОСТЬ ДОНАТЫ,Подключение/отключение донатов,"Категория вопроса: Подключение/отключение донатов
Вопрос: Как включить функцию «Поддержать автора»?
Ответ: Чтобы включить донаты, нажмите на ваш аватар и выберите «Студия RUTUBE». В боковом меню нажмите «Настройки канала» → Поддержать автора. Укажите ссылку на сервис, где пользователи могут перечислять вам средства. Под всеми вашими видео появится кнопка «Поддержать автора»."
"Чтобы встроить (эмбедировать) видео с RUTUBE на сторонний сайт, нужно добавить код вставки плеера в код страницы, на которую хотите встроить плеер. Встроить можно любое видео, которое не скрыто автором. Видео, доступное только по прямой ссылке, тоже можно встроить — для этого понадобится доступ в студию RUTUBE автора этого видео.

Шаг 1. Найдите нужное видео на сайте RUTUBE и нажмите «Поделиться» → «Код вставки плеера»

Шаг 2. Скопируйте код. Чтобы это сделать, кликните на код или на кнопку «Скопировать»

Шаг 3. Вставьте код вставки плеера в код страницы, на которую хотите встроить видео",Как эмбедировать видео с RUTUBE?,ВИДЕО,Встраивание видео,"Категория вопроса: Встраивание видео
Вопрос: Как эмбедировать видео с RUTUBE?
Ответ: Чтобы встроить (эмбедировать) видео с RUTUBE на сторонний сайт, нужно добавить код вставки плеера в код страницы, на которую хотите встроить плеер. Встроить можно любое видео, которое не скрыто автором. Видео, доступное только по прямой ссылке, тоже можно встроить — для этого понадобится доступ в студию RUTUBE автора этого видео.

Шаг 1. Найдите нужное видео на сайте RUTUBE и нажмите «Поделиться» → «Код вставки плеера»

Шаг 2. Скопируйте код. Чтобы это сделать, кликните на код или на кнопку «Скопировать»

Шаг 3. Вставьте код вставки плеера в код страницы, на которую хотите встроить видео"
"Чтобы встроить видео, доступное только по прямой ссылке, понадобится ключ доступа. Его можно скопировать из прямой ссылки на видео.

Шаг 1. 
Откройте видео с ограниченным доступом в Студии RUTUBE и скопируйте его ссылку
Пример прямой ссылки на видео с его ID и ключом доступа: https://rutube.ru/video/private/caafe83ff1c6ed38d394635b83ece578/?p=IBgzQQrKH4qB1bqm_91x7Q

Шаг 2.
Откройте видео по скопированной ссылке и нажмите «Поделиться» → «Код для вставки»

Шаг 3. 
Скопируйте из ссылки в браузере ключ доступа — всё после последнего «/» — и добавьте этот кусок в код вставки видео через слэш «/» сразу после ID видео.
Все ключи видео начинаются с «/?p=». 

Если добавить на страницу код вставки без ключа доступа, видео не будет воспроизводиться.
Если у вас возникли сложности, напишите нам на help@rutube.ru","Как встроить на сайт приватное видео, доступное только по прямой ссылке?",ВИДЕО,Встраивание видео,"Категория вопроса: Встраивание видео
Вопрос: Как встроить на сайт приватное видео, доступное только по прямой ссылке?
Ответ: Чтобы встроить видео, доступное только по прямой ссылке, понадобится ключ доступа. Его можно скопировать из прямой ссылки на видео.

Шаг 1. 
Откройте видео с ограниченным доступом в Студии RUTUBE и скопируйте его ссылку
Пример прямой ссылки на видео с его ID и ключом доступа: https://rutube.ru/video/private/caafe83ff1c6ed38d394635b83ece578/?p=IBgzQQrKH4qB1bqm_91x7Q

Шаг 2.
Откройте видео по скопированной ссылке и нажмите «Поделиться» → «Код для вставки»

Шаг 3. 
Скопируйте из ссылки в браузере ключ доступа — всё после последнего «/» — и добавьте этот кусок в код вставки видео через слэш «/» сразу после ID видео.
Все ключи видео начинаются с «/?p=». 

Если добавить на страницу код вставки без ключа доступа, видео не будет воспроизводиться.
Если у вас возникли сложности, напишите нам на help@rutube.ru"
"Чтобы изменить размер окна плеера, цвет элементов управления, выбрать момент начала и конца воспроизведения, показать название и автора видео, добавьте дополнительные параметры в код вставки плеера с помощью настроек параметров. Все изменения и дополнительные параметры отобразятся в коде для вставки, поэтому копируйте его только после их добавления и настройки.

В расширенной форме можно настроить следующие параметры:

Изменение размера окна плеера: замените размер в одном из полей в блоке «Размеры, px» на нужный. Второе поле подстроится автоматически, чтобы сохранить пропорции оригинального плеера.
Изменение цвета элементов плеера: нажмите «Изменить» в блоке «Основной цвет» и выберите нужный цвет из палитры.
Выбор моментов начала и конца воспроизведения: поставьте галочку в чекбоксе «Начало» и/или «Конец» добавьте таймкод нужного момента. Выбор часов будет доступен, только если видео длится больше 59 минут 59 секунд. Если указать значение 99 минут, то оно автоматически пересчитается в часы и остаток в минутах. Аналогично пересчитываются секунды в минуты.
Отображение названия видео: поставьте галочку в чекбоксе «Показывать название видео». Отображение может не работать на платформах, на которых не используется язык HTML.
Отображение автора видео: можно добавить, только если включено отображение названия видео. Чтобы включить отображение автора, поставьте галочку в чекбоксе «Показывать автора канала». Отображение может не работать на платформах, на которых не используется язык HTML.",Какие есть дополнительные возможности при эмбедирование видео,ВИДЕО,Встраивание видео,"Категория вопроса: Встраивание видео
Вопрос: Какие есть дополнительные возможности при эмбедирование видео
Ответ: Чтобы изменить размер окна плеера, цвет элементов управления, выбрать момент начала и конца воспроизведения, показать название и автора видео, добавьте дополнительные параметры в код вставки плеера с помощью настроек параметров. Все изменения и дополнительные параметры отобразятся в коде для вставки, поэтому копируйте его только после их добавления и настройки.

В расширенной форме можно настроить следующие параметры:

Изменение размера окна плеера: замените размер в одном из полей в блоке «Размеры, px» на нужный. Второе поле подстроится автоматически, чтобы сохранить пропорции оригинального плеера.
Изменение цвета элементов плеера: нажмите «Изменить» в блоке «Основной цвет» и выберите нужный цвет из палитры.
Выбор моментов начала и конца воспроизведения: поставьте галочку в чекбоксе «Начало» и/или «Конец» добавьте таймкод нужного момента. Выбор часов будет доступен, только если видео длится больше 59 минут 59 секунд. Если указать значение 99 минут, то оно автоматически пересчитается в часы и остаток в минутах. Аналогично пересчитываются секунды в минуты.
Отображение названия видео: поставьте галочку в чекбоксе «Показывать название видео». Отображение может не работать на платформах, на которых не используется язык HTML.
Отображение автора видео: можно добавить, только если включено отображение названия видео. Чтобы включить отображение автора, поставьте галочку в чекбоксе «Показывать автора канала». Отображение может не работать на платформах, на которых не используется язык HTML."
"Чтобы отправить жалобу, заполните форму: Для юридических лиц: https://rutube.ru/forms/form/2/ . Для физических лиц: https://rutube.ru/forms/form/12/. Или нажмите «Пожаловаться» в меню действий видео, комментария, плейлиста или канала.","Как пожаловаться на видео, если оно нарушает авторские права?",МОДЕРАЦИЯ,Нарушение авторских прав,"Категория вопроса: Нарушение авторских прав
Вопрос: Как пожаловаться на видео, если оно нарушает авторские права?
Ответ: Чтобы отправить жалобу, заполните форму: Для юридических лиц: https://rutube.ru/forms/form/2/ . Для физических лиц: https://rutube.ru/forms/form/12/. Или нажмите «Пожаловаться» в меню действий видео, комментария, плейлиста или канала."
"Чужой контент без разрешения автора или правообладателя. Например, музыку, видео и изображения из общего доступа, записи концертов, фильмов, аудиокниги, фрагменты новостных сюжетов из ТВ-эфиров, видео популярных блогеров, трансляции спортивных событий.
Рекламу трансцендентных услуг. Например, рекламу гаданий, услуг ясновидящих, экстрасенсов и т. д.
Откровенно сексуальный контент. Например, танцы в откровенных костюмах, рекламу интим-товаров или сексуальных услуг. 
Рекламу букмекеров, проведение ставок и пропаганду любых азартных игр. 
Рекламу или продвижение финансовых пирамид и сетевого маркетинга (MLM), преподнесение их в качестве надёжного источника заработка.  
Нецензурную брань, оскорбления, подстрекательства к незаконным действиям. 
Контент, который нацелен только на перенаправление зрителей на другие сайты. 
Контент иностранных агентов или о них без специальной маркировки.
Больше информации есть по ссылкам: 

https://rutube.ru/info/taboo_agreement/
https://rutube.ru/info/socially_important/
https://rutube.ru/info/adverguide/
https://rutube.ru/info/content/",Что нельзя публиковать на RUTUBE?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Что нельзя публиковать на RUTUBE?
Ответ: Чужой контент без разрешения автора или правообладателя. Например, музыку, видео и изображения из общего доступа, записи концертов, фильмов, аудиокниги, фрагменты новостных сюжетов из ТВ-эфиров, видео популярных блогеров, трансляции спортивных событий.
Рекламу трансцендентных услуг. Например, рекламу гаданий, услуг ясновидящих, экстрасенсов и т. д.
Откровенно сексуальный контент. Например, танцы в откровенных костюмах, рекламу интим-товаров или сексуальных услуг. 
Рекламу букмекеров, проведение ставок и пропаганду любых азартных игр. 
Рекламу или продвижение финансовых пирамид и сетевого маркетинга (MLM), преподнесение их в качестве надёжного источника заработка.  
Нецензурную брань, оскорбления, подстрекательства к незаконным действиям. 
Контент, который нацелен только на перенаправление зрителей на другие сайты. 
Контент иностранных агентов или о них без специальной маркировки.
Больше информации есть по ссылкам: 

https://rutube.ru/info/taboo_agreement/
https://rutube.ru/info/socially_important/
https://rutube.ru/info/adverguide/
https://rutube.ru/info/content/"
"Эмбед или эмбедирование — функция, которая позволяет встраивать плеер RUTUBE с конкретным видео на сторонние веб-страницы.",Что такое встраивание (embed) видео?,ВИДЕО,Встраивание видео,"Категория вопроса: Встраивание видео
Вопрос: Что такое встраивание (embed) видео?
Ответ: Эмбед или эмбедирование — функция, которая позволяет встраивать плеер RUTUBE с конкретным видео на сторонние веб-страницы."
"Это единичная процедура, которая защищает наших пользователей от разного рода вредоносного контента. Кроме того, производить идентификацию пользователей нас обязывает российское законодательство (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE.",Зачем нужно подтверждать номер телефона?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Зачем нужно подтверждать номер телефона?
Ответ: Это единичная процедура, которая защищает наших пользователей от разного рода вредоносного контента. Кроме того, производить идентификацию пользователей нас обязывает российское законодательство (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE."
"Это могут быть субтитры, которые добавил сам автор, или автоматические субтитры, которые сгенерированы искусственным интеллектом RUTUBE. У видео может быть только один вид субтитров. Если автор загрузил свои субтитры, автоматические включить не получится.",Какие субтитры используются в RUTUBE?,ОТСУТСТВУЕТ,Отсутствует,"Категория вопроса: Отсутствует
Вопрос: Какие субтитры используются в RUTUBE?
Ответ: Это могут быть субтитры, которые добавил сам автор, или автоматические субтитры, которые сгенерированы искусственным интеллектом RUTUBE. У видео может быть только один вид субтитров. Если автор загрузил свои субтитры, автоматические включить не получится."
Это ошибка возникает на старых версиях приложения. Установите новую версию через магазин приложений или скачайте установочный файл.,"Что делать, если видео недоступно только на ТВ. Ошибка «Этот контент доступен только на сайте rutube.ru»?",ВИДЕО,Недоступность видео,"Категория вопроса: Недоступность видео
Вопрос: Что делать, если видео недоступно только на ТВ. Ошибка «Этот контент доступен только на сайте rutube.ru»?
Ответ: Это ошибка возникает на старых версиях приложения. Установите новую версию через магазин приложений или скачайте установочный файл."
"Это ссылка, которая приходит на ваш e-mail, указанный при регистрации. Чтобы подтвердить ваше намерение зарегистрироваться на RUTUBE, нужно перейти по этой ссылке.   Изменить или привязать e-mail, если изначально регистрация проводилась по телефону, можно в вашем профиле: https://rutube.ru/profile. Обратите внимание, что для полноценного взаимодействия с RUTUBE привязка и подтверждение e-mail является обязательной процедурой.",Что такое подтверждение e-mail?,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Что такое подтверждение e-mail?
Ответ: Это ссылка, которая приходит на ваш e-mail, указанный при регистрации. Чтобы подтвердить ваше намерение зарегистрироваться на RUTUBE, нужно перейти по этой ссылке.   Изменить или привязать e-mail, если изначально регистрация проводилась по телефону, можно в вашем профиле: https://rutube.ru/profile. Обратите внимание, что для полноценного взаимодействия с RUTUBE привязка и подтверждение e-mail является обязательной процедурой."
Это телевизор или ТВ-приставка с доступом к интернету и возможностью скачивать сторонние приложения и сервисы. Приложение RUTUBE можно установить почти на любое устройство Smart TV.,Что такое Smart TV?,ОТСУТСТВУЕТ,Отсутствует,"Категория вопроса: Отсутствует
Вопрос: Что такое Smart TV?
Ответ: Это телевизор или ТВ-приставка с доступом к интернету и возможностью скачивать сторонние приложения и сервисы. Приложение RUTUBE можно установить почти на любое устройство Smart TV."
"Это трансляция, которую можно смотреть только по приглашению автора по специальной ссылке.",Что такое приватная трансляция на RUTUBE?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Что такое приватная трансляция на RUTUBE?
Ответ: Это трансляция, которую можно смотреть только по приглашению автора по специальной ссылке."
"Этот код нужен для того, чтобы зарегистрировать ваше устройство (Android TV, Apple TV, Google TV и др.) и получить доступ к полному функционалу RUTUBE. 

Код необходимо ввести в соответствующее поле, открыв вкладки «Настройки» — «Подключенные устройства» в вашем канале: https://rutube.ru/profile/devices-settings/. Обращаем внимание, что это можно сделать только на компьютере или ноутбуке, либо в мобильном браузере.",В приложении RUTUBE для SmartTV на экране телевизора появляется код. Зачем он нужен и куда его ввести?,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: В приложении RUTUBE для SmartTV на экране телевизора появляется код. Зачем он нужен и куда его ввести?
Ответ: Этот код нужен для того, чтобы зарегистрировать ваше устройство (Android TV, Apple TV, Google TV и др.) и получить доступ к полному функционалу RUTUBE. 

Код необходимо ввести в соответствующее поле, открыв вкладки «Настройки» — «Подключенные устройства» в вашем канале: https://rutube.ru/profile/devices-settings/. Обращаем внимание, что это можно сделать только на компьютере или ноутбуке, либо в мобильном браузере."
